gene,cell_type,value
TIMP1,SSCs,0.09649999999999999
BEX1,SSCs,0.1475
CRYAB,SSCs,0.0305
IGLC2,SSCs,0.001
IGLC3,SSCs,0.0005
IGHG1,SSCs,0.0035
HLA-DRA,SSCs,0.0385
RNASE1,SSCs,0.251
CD74,SSCs,0.14500000000000002
TDRD1,STs,0.02225
ELAVL2,STs,0.0205
SOX4,STs,1.1327500000000001
HMGN5,STs,2.60925
DEFB119,STs,2.96175
CITED1,STs,2.0444999999999998
DCN,STs,0.18525
C7,STs,0.29550000000000004
 PTGDS,STs,1.6517499999999998
BX119904.2,STs,0.039
SPANXN3,STs,0.0595
LINC00919,STs,0.141
HIST1H2AA,STs,0.22175
HIST1H2BA,STs,0.03725
AC084033.3,STs,0.25925000000000004
RAD51AP2,STs,0.017
ZCWPW1,STs,0.061
SYCP3,STs,0.06949999999999999
 HLA-DRA,STs,0.1305
 CD74,STs,0.293
CCL4L2,STs,0.03925
 CLU,STs,4.333
SERPINA5,STs,2.90625
  DEFB119,STs,2.96175
TKTL1,STs,0.0475
GAGE2A,STs,0.02375
HIST1H1A,STs,0.0675
EQTN,STs,0.02725
LINC01760,STs,0.07125
LINC02032,STs,0.0285
TAGLN,STs,0.09625
ACTA2,STs,0.14125
ADIRF,STs,0.13175
HMGA1,STs,0.0325
TUBA1B,STs,1.173
CCNI,STs,1.35725
CCDC110,STs,0.09175
GOLGA6L2,STs,0.012
LINC00643,STs,0.02125
PTGDS,STs,1.6517499999999998
PEMT,STs,0.2905
LAMA2,STs,0.37475
PRM1,STs,1.15375
TNP1,STs,0.2825
PRM2,STs,0.8807500000000001
HSPB6,STs,0.01625
CFD,STs,0.02025
IGFBP6,STs,0.02425
AL133499.1,STs,0.0825
 CCDC110,STs,0.09175
AC010980.1,STs,0.0825
GNG11,STs,0.06575
SPARCL1,STs,0.35375
A2M,STs,0.5305
LINC01921,STs,0.20350000000000001
 PRM2,STs,0.8807500000000001
 PRM1,STs,1.15375
 LINC01921,STs,0.20350000000000001
  PRM1,STs,1.15375
 TNP1,STs,0.2825
LRWD1,STs,0.07075000000000001
SPACA1,STs,0.05025
BOD1L2,STs,0.15575000000000003
TP53TG5,STs,0.01825
C1orf100,STs,0.0465
CCDC168,STs,0.02025
TEX101,STs,0.0705
SYCP1,STs,0.0545
LY6K,STs,0.03875000000000001
CETN3,STs,0.34550000000000003
