gene,cell_type,value
PEMT,SSCs,0.0605
LAMA2,SSCs,0.040999999999999995
PRM1,SSCs,0.265
TNP1,SSCs,0.0865
PRM2,SSCs,0.22150000000000003
HSPB6,SSCs,0.0025
CFD,SSCs,0.026500000000000003
IGFBP6,SSCs,0.023
AL133499.1,SSCs,0.032
 CCDC110,SSCs,0.0425
AC010980.1,SSCs,0.0305
GNG11,SSCs,0.0235
SPARCL1,SSCs,0.009
A2M,SSCs,0.1135
LINC01921,SSCs,0.05
 PRM2,SSCs,0.22150000000000003
 PRM1,SSCs,0.265
 LINC01921,SSCs,0.05
  PRM1,SSCs,0.265
 TNP1,SSCs,0.0865
LRWD1,SSCs,0.068
SPACA1,SSCs,0.0335
BOD1L2,SSCs,0.060500000000000005
TP53TG5,SSCs,0.0095
C1orf100,SSCs,0.018500000000000003
CCDC168,SSCs,0.012
TEX101,SSCs,0.0645
SYCP1,SSCs,0.1015
LY6K,SSCs,0.0885
CETN3,SSCs,0.111
C15orf48,SSCs,0.054
RNFT1,SSCs,0.069
APOA1,SSCs,0.033
CLU,SSCs,0.07
 DEFB119,SSCs,0.0385
 AL133499.1,SSCs,0.032
 LRWD1,SSCs,0.068
ASRGL1,SSCs,0.149
RGS5,SSCs,0.0105
RERGL,SSCs,0.006999999999999999
LBH,SSCs,0.109
PAGE2B,SSCs,0.6785
  PRM2,SSCs,0.22150000000000003
MAGEB2,SSCs,0.9784999999999999
MYH11,SSCs,0.0175
KRT17,SSCs,0.006999999999999999
MYLK,SSCs,0.028499999999999998
SPANXN4,SSCs,0.015
PPP1R2C,SSCs,0.0465
AC239803.2,SSCs,0.024
INSL3,SSCs,0.032
GSTA1,SSCs,0.020999999999999998
CYP17A1,SSCs,0.0075
H2AFZ,SSCs,0.297
 TEX101,SSCs,0.0645
HSPA5,SSCs,0.16
IGFBP7,SSCs,0.016
 ACTA2,SSCs,0.015
  PTGDS,SSCs,0.028
FAM71A,SSCs,0.0085
  TNP1,SSCs,0.0865
C20orf144,SSCs,0.0175
TIMP1,SSCs,0.021500000000000002
BEX1,SSCs,0.051000000000000004
CRYAB,SSCs,0.0105
IGLC2,SSCs,0.0
IGLC3,SSCs,0.0
IGHG1,SSCs,0.001
HLA-DRA,SSCs,0.007
RNASE1,SSCs,0.04
CD74,SSCs,0.026500000000000003
TDRD1,STs,0.01
ELAVL2,STs,0.01125
SOX4,STs,0.6074999999999999
HMGN5,STs,0.8875
DEFB119,STs,0.9339999999999999
CITED1,STs,0.8029999999999999
DCN,STs,0.03475
C7,STs,0.1335
 PTGDS,STs,0.30474999999999997
BX119904.2,STs,0.01925
SPANXN3,STs,0.028749999999999998
LINC00919,STs,0.03575
HIST1H2AA,STs,0.04175
HIST1H2BA,STs,0.0125
AC084033.3,STs,0.066
RAD51AP2,STs,0.0075
ZCWPW1,STs,0.00825
SYCP3,STs,0.0205
 HLA-DRA,STs,0.027999999999999997
 CD74,STs,0.05725
CCL4L2,STs,0.01625
 CLU,STs,0.93625
SERPINA5,STs,0.9237500000000001
  DEFB119,STs,0.9339999999999999
TKTL1,STs,0.01925
GAGE2A,STs,0.009500000000000001
HIST1H1A,STs,0.034
EQTN,STs,0.01125
LINC01760,STs,0.0265
LINC02032,STs,0.014499999999999999
