Cell,Group,Disease,Stage,PlotStage,Pseudotime2,MixEntropy,Batch,OXPHOS,Apoptosis
Normal_1_2_9_3_bar67,Normal,Control,S1,Round Sperm,8.105027932960894,0.400309645830661,Normal_1,2.9200639827141437,0.45407885235993806
Normal_1_2_9_4_bar68,Normal,Control,P,Late SPC,6.314285714285715,0.20976880507769463,Normal_1,3.0566766942451724,0.12825014161563433
Normal_1_2_9_5_bar69,Normal,Control,P,Late SPC,6.160714285714285,0.3258655606291759,Normal_1,3.088281914899335,0.13662976659482165
Normal_1_2_9_6_bar70,Normal,Control,SPC7,Late SPC,7.299145299145299,0.1406962253139284,Normal_1,3.034686282173703,0.1663901770438708
Normal_1_3_1_1_bar1,Normal,Control,SPC7,Late SPC,7.282051282051282,0.1016093118462857,Normal_1,2.9680701348278564,0.4680766088367066
Normal_1_3_1_2_bar2,Normal,Control,D,Late SPC,6.513488372093024,0.3764618904658653,Normal_1,3.142105691389504,0.309870644324353
Normal_1_3_1_3_bar3,Normal,Control,S1,Round Sperm,8.187709497206704,-1.4428232973175175e-12,Normal_1,2.816108266782025,0.15662865875815465
Normal_1_3_1_4_bar4,Normal,Control,D,Late SPC,6.6753488372093015,0.29892393694265923,Normal_1,2.9131410840789513,0.4819061905123807
Normal_1_3_1_5_bar5,Normal,Control,S1,Round Sperm,8.277094972067038,0.5076575881791653,Normal_1,2.866179371206319,0.0
Normal_1_3_1_6_bar6,Normal,Control,S2,Elongated Sperm,9.308609271523178,0.7192711659547665,Normal_1,2.518652085765618,0.17653384077950554
Normal_1_3_1_7_bar7,Normal,Control,S2,Elongated Sperm,9.25298013245033,0.6918138653199457,Normal_1,2.608761063222797,0.25859999401082445
Normal_1_3_1_8_bar8,Normal,Control,D,Late SPC,6.738604651162791,0.1016093118462857,Normal_1,2.8650000657236574,0.0
Normal_1_3_10_1_bar73,Normal,Control,SPC7,Late SPC,7.5316239316239315,0.42329155143330927,Normal_1,2.985596816405664,0.1882457341964322
Normal_1_3_10_2_bar74,Normal,Control,D,Late SPC,6.686511627906977,0.27071808593082797,Normal_1,3.0007180237409408,0.3338701851481643
Normal_1_3_10_3_bar75,Normal,Control,D,Late SPC,6.740465116279069,0.1016093118462857,Normal_1,3.0476422722186296,0.25722232075923845
Normal_1_3_10_4_bar76,Normal,Control,D,Late SPC,6.411162790697675,0.20976880507769463,Normal_1,2.947466473782724,0.12934918320536778
Normal_1_3_10_7_bar79,Normal,Control,S1,Round Sperm,8.053631284916202,0.42329155143330927,Normal_1,2.7201738053439897,0.5866233691772678
Normal_1_3_11_1_bar81,Normal,Control,S1,Round Sperm,8.181005586592178,-1.4428232973175175e-12,Normal_1,2.8682583087062694,0.5256237148398455
Normal_1_3_11_2_bar82,Normal,Control,D,Late SPC,6.746046511627907,0.1016093118462857,Normal_1,2.8668131732301023,0.2595589168045407
Normal_1_3_11_3_bar83,Normal,Control,SPC7,Late SPC,7.446153846153846,0.42329155143330927,Normal_1,2.8907955757878128,0.21014048996021112
Normal_1_3_11_5_bar85,Normal,Control,D,Late SPC,6.532093023255814,0.3764618904658653,Normal_1,2.8605166439465926,0.6366057960432911
