gene_name,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
TDO2,0,0,0.000260686,0,0,0
TDP1,0.094349819,0.067078158,0.127356243,0.072917577,0.100427117,0.106391003
TDP2,0.494397559,0.504685546,0.762632441,0.528483129,0.737284524,0.557979425
TDRD1,0.054417811,0.095062878,0.002169089,0.066832331,0.016373413,0.057426098
TDRD10,0.017154487,0.004109915,0.011251817,0.053204842,0.028516814,0.056301406
TDRD12,0.028825489,0.050953132,0.008132552,0.021032343,0.013959654,0.03297513
TDRD15,0.009942709,0,0.007757082,0.023990329,0.005229842,0.016022373
TDRD3,0.256754753,0.337560561,0.35799156,0.221844441,0.301918752,0.187832221
TDRD5,0.024093479,0,0,0.027677104,0.015798822,0.012774807
TDRD6,0.041760522,0.014761975,0.012763993,0.072910142,0.029201309,0.073669322
TDRD7,0.081682831,0.054810266,0.092746353,0.083113153,0.113678665,0.102964089
TDRD9,0.024058122,0.00694168,0.001227679,0.032142566,0.013076754,0.031387511
TDRG1,0.025338312,0.00635923,0,0.08346228,0.030382729,0.032338
TDRKH,0.015635705,0.015154189,0.025667341,0.031620808,0.026592518,0.04956651
TDRKH-AS1,0.002409835,0.003567855,0.012699388,0.016875807,0.018750437,0.001900316
TDRP,0.024961722,0.042613363,0.030442542,0.036670302,0.052058732,0.041068241
TEAD1,0.431204009,0.500620023,0.730358421,0.319648587,0.470613215,0.324526001
TEAD2,0,0,0,0.003170133,0.001147184,0.011384417
TEAD3,0.040397622,0.015612649,0.022126819,0.015565414,0.028336227,0.047886932
TEAD4,0,0,0.001886599,0,0.001741497,0
TEC,0.20057436,0.297794298,0.25678027,0.192549573,0.180778555,0.145518798
TECPR1,0.119478069,0.162123941,0.131561219,0.099423017,0.14048262,0.183219008
TECPR2,0.227807648,0.136915383,0.209394799,0.141561564,0.200475007,0.170687476
TECR,1.136922658,0.709689207,0.9268366,1.083805445,0.627432328,1.025239771
TECRP1,0.048424801,0.031783301,0.049291069,0.100940152,0.06892096,0.021152679
TECTA,0.011982101,0.01820302,0.010470458,0.012534889,0.01354369,0.006535494
TEDC1,0.00145516,0,0.008144567,0.008608548,0.006450676,0.011004909
TEDC2,0.00535428,0.013211389,0.006966995,0.013193469,0.009089273,0.013123217
TEF,0.120725284,0.162108082,0.154485609,0.137550566,0.163976015,0.230427456
TEFM,0.093184925,0.184326692,0.079063092,0.13096432,0.155766426,0.100395418
TEK,0.002001451,0,0,0,0.007226998,0.002540008
TEKT1,0.025234208,0,0,0.07668103,0.011050664,0.116723734
TEKT2,0.029979263,0,0.000672047,0.075502494,0.013126945,0.06589286
TEKT3,0.057771856,0,0.001015677,0.209126971,0.027025549,0.1629205
TEKT4,0.00131522,0,0.004516775,0.018868863,0.009923791,0.017125526
TEKT4P2,0.103686649,0.050496414,0.120672418,0.097219371,0.055962098,0.053397138
TEKT5,0.003405075,0.002994037,0,0.022580885,0.005305003,0.044857459
TELO2,0.012774771,0.035412011,0.029816742,0.062606425,0.052935291,0.117591742
TEMN3-AS1,0,0,0,0,0,0
TENM1,0,0,0.00917967,0,0.000843737,0
TENM2,0,0,0.008323228,0.00221155,0.002646292,0.009467354
TENM3,0.001811804,0,0.003663312,0.005314701,0.008470495,0.007826441
TENM4,0.00697924,0.023622686,0.019993368,0.017752072,0.021931039,0.043935479
TEP1,0.028001847,0.034751171,0.054963134,0.028009221,0.058581574,0.024683783
TEPP,0.008057521,0,0,0.028066122,0.011235039,0.035689383
TEPSIN,0.013768259,0.027497035,0.017820398,0.00961969,0.02394229,0.017502064
TERB1,0.01670316,0.019326023,0,0.009136951,0.0059713,0.002457493
TERB2,0.019693751,0.00370431,0,0.052633163,0.015403081,0.068227956
TERC,0,0,0.001925373,0,0,0
TERF1,0.476887905,0.536398603,0.620215181,0.327637574,0.497456493,0.398426606
TERF1P4,0,0,0.001478218,0.00214459,0,0
TERF1P5,0.0035383,0.012833148,0.003704301,0.017225983,0.002331058,0.005834764
TERF2,0.241730124,0.421614205,0.406938222,0.271715926,0.345520271,0.326069631
TERF2IP,2.281030222,2.267647523,2.550124652,2.072587642,2.470117474,2.484958399
TERT,0,0,0,0,0,0.002402392
TES,0.799359171,0.779912989,0.534383828,0.68599611,0.745245525,0.362079345
TESC,0.093132117,0.042392022,0.088032591,0.145280137,0.064477339,0.207733336
TESC-AS1,0,0,0,0.002391172,0.001076252,0.005101635
