Gene id,CTRL,AZFC,iNOA-S,iNOA-B,OA,KS
LYPD4,0.065024301,0.034844971,0,0.004387369,0.198335438,0.189975315
GK2,0.053317653,0.035715096,0,0.004169484,0.170936175,0.162528715
FAM187B,0.056032651,0.00855202,0,0,0.054082683,0.063511335
FANCD2OS,0.070282955,0.053904434,0,0,0.211888936,0.205803059
ADAM7,0.063808125,0.031396425,0,0,0.162903854,0.167785869
NPTN,1.471019778,1.702522523,0.996635054,1.373082161,1.776449474,1.573735859
JAK1,1.353646823,0.841276456,0.851745081,1.230331406,0.910285994,0.998055755
HTR2A,0.253424123,0.035826429,0.043193947,0.181579269,0.144137283,0.139914537
SMOC1,1.232855284,0.999678472,0.740570306,1.173859397,1.340113105,1.386344131
CDKN1C,0.138171748,0.06788178,0.0222621,0.049024892,0.057687344,0.136640597
CCDC141,0.343932378,0.07395443,0.095833245,0.316396383,0.188715506,0.076745917
AL157756.1,0.104742144,0.029801826,0.005151783,0,0.117165673,0.118946049
SYCP1,0.108970774,0.098910048,0.00605783,0.119057127,0.140788194,0.111964696
MT-TI,0.507023654,0.587357385,0.153388691,0.261024168,0.911781097,0.223018152
CST3,4.81520591,4.489653985,4.435277879,4.916363546,5.239699181,5.91476904
LINC02367,0.26608463,0.005098446,0.096569305,0.176229729,0.026768724,0.013410288
SERPINA5,4.472535415,4.650021459,4.142430351,4.208010966,4.650272385,4.638832277
MS4A14,0.092479792,0.027412983,0.002702948,0,0.15204579,0.19311864
C19orf71,0.053326221,0.028451448,0,0,0.129718949,0.137158402
SPEM2,0.056645722,0.02007871,0,0,0.087307325,0.164486166
HYPM,0.062269551,0.054102234,0,0,0.08853959,0.079627793
GAGE12H,0.063806737,0.004165063,0,0,0.017096706,0.057838176
KLHL10,0.054268889,0.019015705,0,0,0.091623734,0.128594733
AC004797.1,0.068401026,0.01524359,0,0,0.056678306,0.024137689
FAM71C,0.053621633,0.025665527,0,0,0.251579737,0.099166454
DMRTB1,0.05302375,0.03076653,0,0,0.089995276,0.134937943
SYCE3,0.099697545,0.112995805,0.008021492,0.016579039,0.315072735,0.348679859
ADGRG1,2.172401797,1.892132398,1.674938392,1.530727376,1.884716195,1.989873774
MAP3K14-AS1,0.07357222,0.035193953,0.001189377,0,0.09437535,0.098127642
AKAP3,0.123083425,0.04423986,0.012144618,0.017003882,0.148372532,0.191457903
TDRD1,0.076446646,0.023430542,0.003125944,0.131013711,0.093333452,0.080556839
C5orf49,0.073672344,0.036974461,0.000569424,0,0.080996075,0.20326064
MTND2P28,0.878718385,0.475644684,0.427215744,0.832559149,0.598338684,0.405206317
EFCAB1,0.072257761,0.032977125,0.002177655,0,0.153407143,0.208339221
AC148477.1,0.170893333,0.005287798,0.022696187,0.045099137,0.024517534,0.008135209
IGSF8,0.894287731,0.735989031,0.431818352,0.444783533,0.977050063,1.092360302
CCDC173,0.102062513,0.082795192,0.003691548,0.01343424,0.339300514,0.236308191
RNF17,0.092718923,0.020550814,0.006699173,0.022746917,0.062187682,0.09302463
CST9L,2.040415511,2.190612226,1.449800871,1.894406264,2.713889876,2.718875804
SPDYA,0.107805446,0.054619597,0.007430413,0.032120703,0.198701595,0.103013108
EPPIN,2.844966662,2.740548178,2.438136367,2.249207622,3.050000045,2.651456898
HTRA1,0.226424435,0.102605984,0.037522057,0.023615771,0.182100012,0.299249987
