ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,neg_log10_pvalue
BP,GO:0071346,cellular response to interferon-gamma,118/18723,1.1576546181e-05,0.0011510841459478,0.0009465432069509,ACTG1/CLDN1/GBP2/HSP90AB1/JAK1/EDN1/CDC42/IFNGR1/SYNCRIP/VIM,10,10/281,4.936420991408826
BP,GO:0032271,regulation of protein polymerization,233/18723,1.21505021354e-05,0.0011583712160533,0.0009525354072008,MAP1B/RDX/WASL/HSP90AA1/ARPC2/RAC1/ARHGAP18/SPTAN1/TMSB4X/SPTBN1/CDKN1B/PFN1/CKAP5/SVIL,14,14/281,4.91540577390705
BP,GO:0150105,protein localization to cell-cell junction,21/18723,1.2279553527e-05,0.0011583712160533,0.0009525354072008,ACTG1/JAK1/PAK2/LSR/CGNL1,5,5/281,4.910817423446089
BP,GO:0007044,cell-substrate junction assembly,95/18723,1.29366983994e-05,0.0011898528352866,0.0009784229263139,ACTG1/ITGA6/SLK/RAC1/MACF1/S100A10/MAP4K4/DST/IQGAP1,9,9/281,4.88817654668714
BP,GO:1901888,regulation of cell junction assembly,204/18723,1.33458463647e-05,0.0011975455799006,0.0009847487150783,ACTG1/CLDN1/LRRN3/MEF2C/SLK/RAC1/FLRT3/SETD5/MACF1/S100A10/VPS35/MAP4K4/IQGAP1,13,13/281,4.874653878986751
BP,GO:0010038,response to metal ion,373/18723,1.47817331694e-05,0.0012948094364352,0.0010647293516015,CALM1/CLDN1/SEC31A/MEF2C/MT2A/DAXX/B2M/EDN1/TXNIP/SYT11/S100A16/CDKN1B/MT1E/PARP1/MNAT1/TSPO/MT1X/IQGAP1,18,18/281,4.830274641599026
BP,GO:0010811,positive regulation of cell-substrate adhesion,123/18723,1.66871817395e-05,0.001427724223713,0.0011740259564101,ITGA6/PTN/ARPC2/RAC1/CDC42/NEDD9/S100A10/MAP4K4/RRAS/IQGAP1,10,10/281,4.777617004143605
BP,GO:1902905,positive regulation of supramolecular fiber organization,209/18723,1.72705419599e-05,0.0014440528152422,0.0011874530524617,MAP1B/WASL/ARPC2/EDN1/RAC1/CDC42/S100A10/MTSS1/CDKN1B/CFL2/PFN1/RHOC/CKAP5,13,13/281,4.762694033799019
BP,GO:0022604,regulation of cell morphogenesis,309/18723,1.88564169065e-05,0.0015416168399851,0.0012676805190533,RDX/MYH9/PTN/ARPC2/EZR/RAC1/ARHGAP18/CDC42/DHX36/NEDD9/MACF1/S100A10/ACTN4/RHOC/PRKDC/ENPP2,16,16/281,4.724540828331058
BP,GO:0032535,regulation of cellular component size,383/18723,2.10414873236e-05,0.0016828615622562,0.0013838268779915,MAP1B/WNK3/TMEM123/RDX/WASL/HSP90AB1/ARPC2/EZR/EDN1/RAC1/ARHGAP18/SPTAN1/MACF1/TMSB4X/SPTBN1/CFL2/PFN1/SVIL,18,18/281,4.676923565202584
