gene,ctrl,disease,log2fc
MYLKP1,0.0035443522049509,0.0,-11.791713240503741
MYLPF,0.0484544445438889,0.0480896783253328,-0.010901502886642139
MYMK,0.0,0.0,0.0
MYMX,0.0025554718302062,0.0006121132012157,-2.0599287556298402
MYNN,0.6068090234713845,0.6674901185873989,0.13750372425778112
MYO10,0.0423734447310367,0.0544944773305119,0.3629420397250761
MYO15A,0.0657485248834679,0.0563305515596203,-0.22303726051996386
MYO15B,0.10115874683348,0.0826332481745962,-0.29182358874562303
MYO16,0.0467355856991481,0.0631464417100799,0.43417194421536015
MYO16-AS1,0.0,0.0,0.0
MYO16-AS2,0.0012029723220829,0.0011363397444785,-0.08213894822484549
MYO18A,0.0826969622144301,0.0639630255119549,-0.37059104370395735
MYO18B,0.0049420107419507,0.0083320739030642,0.7534587332154002
MYO19,0.1192228761541018,0.180461668689702,0.5980272422148191
MYO1A,0.0388249812206159,0.0347240158123787,-0.16104703409725907
MYO1B,0.0212957927392057,0.0309032263933158,0.5371679720012569
MYO1C,0.0179857452649029,0.0510725847494957,1.5056431705431648
MYO1D,0.1487374539028683,0.3233022409368464,1.1201102888586894
MYO1E,0.091678360782207,0.0613024921315605,-0.5806277263338995
MYO1F,0.0278452169561911,0.020337628365311,-0.45325895645661485
MYO1G,0.0030962225698573,0.0027471092447525,-0.17253570409346417
MYO1H,0.1012073440427297,0.0296281998364819,-1.7722366661544677
MYO3A,0.3738103245441349,0.2811261821093911,-0.4110873216749425
MYO3B,0.0199989761519503,0.0145512700981663,-0.45875405415891424
MYO5A,0.127552502196984,0.1391191069709606,0.12522843594656613
MYO5B,0.0568035810844237,0.0785256867842607,0.4671757453003547
MYO5BP1,0.0036192906878272,0.0106867471536676,1.561780335731619
MYO5BP2,0.0379581304816048,0.2028548383292798,2.417935974419842
MYO5BP3,0.0,0.0,0.0
MYO5C,0.109908059450203,0.1251839965258037,0.1877513571275475
MYO6,0.3653081341921306,0.3161606678114247,-0.20845536476858942
MYO7A,0.0184925350076625,0.0182626444998225,-0.018046336776398667
MYO7B,0.0058397454040211,0.0116015581199049,0.9902185196125889
MYO9A,1.7202120931800122,1.5909435275445345,-0.1127037581433828
MYO9B,0.1356086400617128,0.1439476155609308,0.08609417495457952
MYOC,0.0,0.0010494091923631,10.036735731404068
MYOCD,0.0043105920957395,0.0153943699708358,1.8362039361875082
MYOCOS,0.0024254419773984,0.0012135379313936,-0.9984348142107712
MYOD1,0.001037486127515,0.0006997350526106,-0.5675409737027313
MYOF,0.0156825567870575,0.0041765908997627,-1.9085096521926779
MYOM1,0.0789514059005729,0.0877702275574558,0.1527648551200819
MYOM2,0.6319339343125853,0.5524469856966534,-0.19393738466429544
MYOM3,0.0076220479028806,0.0039287701275035,-0.9559230176819192
MYORG,0.0,0.0016918069297423,10.725201723112999
MYOSLID,0.0,0.0,0.0
MYOT,0.0275626581900317,0.0054060668134151,-2.349849283594298
MYOZ1,0.010200841414599,0.0064362478959237,-0.6643136469844722
MYOZ2,0.0031091902091467,0.0036639795683916,0.23680234200967254
MYOZ3,0.0036062921296495,0.0048590433919146,0.4300529329460947
MYPN,0.001109615563053,0.0027746051985148,1.3214428562117504
MYPOP,0.01268079649471,0.029845466476895,1.2348010097794062
MYRF,0.0033243240716164,0.0071124436256907,1.0970531929196552
MYRFL,0.0221880475772178,0.0163209970328532,-0.44303015884074126
MYRIP,0.0406710822827903,0.0246513605187312,-0.7223130596443886
MYSM1,0.4257344989822662,0.3619619145681976,-0.23411549948464683
MYT1,0.0,0.0011772791401864,10.202465645949621
MYT1L,0.3467406675127149,0.4931384711855457,0.5081345178382344
MYT1L-AS1,0.0050428955691996,0.0015507259823288,-1.7006645898434514
MYZAP,0.0010836583137315,0.0009116570977336,-0.24909582042847722
MZB1,0.005101342261758,0.0079448247516506,0.6390372973402028
