names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group	pct_nz_reference	mean
KLHL9	-1.0130418539047241	-0.48070067167282104	0.3110401774202104	1.0	0.23276108726752504	0.3076923076923077	0.8785022855238827
ZNF503	-1.0134657621383667	-0.32436299324035645	0.3108377351244753	1.0	0.14148783977110158	0.23076923076923078	0.58396416634321
PKM	-1.0137267112731934	-0.5103492140769958	0.3107131548467038	1.0	0.5183118741058655	0.5384615384615384	1.7611798512068584
NMNAT3	-1.0137451887130737	-0.14447852969169617	0.3107043765378573	1.0	0.029327610872675252	0.07692307692307693	0.12497032657958455
KAT2B	-1.0142825841903687	-0.2511923909187317	0.3104479221918799	1.0	0.08011444921316166	0.15384615384615385	0.3460228775336758
DCPS	-1.0147852897644043	-0.3044261932373047	0.31020817654794197	1.0	0.07825464949928469	0.15384615384615385	0.3409600606668629
OXNAD1	-1.0155116319656372	-0.19918198883533478	0.30986198177090607	1.0	0.029756795422031475	0.07692307692307693	0.1303220124049198
RBMS1	-1.0160748958587646	-0.45878440141677856	0.30959372279241315	1.0	0.36337625178826893	0.46153846153846156	1.3464786625808718
JCAD	-1.0168461799621582	-0.31759366393089294	0.30922658338788145	1.0	0.030185979971387698	0.07692307692307693	0.14246836908814467
GGT7	-1.0177538394927979	0.01347574032843113	0.30879493532065416	1.0	0.02804005722460658	0.07692307692307693	0.108772358690049
NOP10	-1.017834186553955	-0.3275437355041504	0.30875675867288555	1.0	0.2947067238912732	0.38461538461538464	1.2050132842843326
MCU	-1.0181528329849243	-0.12305290997028351	0.30860534901476555	1.0	0.028898426323319026	0.07692307692307693	0.12563004867088406
TMEM18	-1.018357753753662	-0.2848210334777832	0.3085079912014652	1.0	0.19971387696709586	0.3076923076923077	0.8047145491133588
ATXN7L1	-1.0185555219650269	-0.13200439512729645	0.3084140453505295	1.0	0.0290414878397711	0.07692307692307693	0.13744445099582
TMEM54	-1.0186525583267212	-0.5431222319602966	0.30836796162733104	1.0	0.08326180257510729	0.15384615384615385	0.36181164005656563
ZNF805	-1.0191453695297241	-0.4723166823387146	0.3081339797099183	1.0	0.03032904148783977	0.07692307692307693	0.14761042729100446
WDR92	-1.0214978456497192	-0.2999286651611328	0.3070186049332446	1.0	0.030042918454935622	0.07692307692307693	0.1291187501572989
RALA	-1.021728754043579	-0.09511782228946686	0.3069092909183021	1.0	0.2396280400572246	0.38461538461538464	0.9463617812920295
LYPLAL1	-1.0222582817077637	-0.351102739572525	0.30665868750185	1.0	0.13733905579399142	0.23076923076923078	0.6086416900283684
HSPB2	-1.0234066247940063	-0.3598359227180481	0.30611560717435615	1.0	0.08297567954220315	0.15384615384615385	0.33443034939980265
ELOVL6	-1.0241179466247559	0.029284972697496414	0.3057795413065989	1.0	0.027896995708154508	0.07692307692307693	0.12458159086054287
GTPBP4	-1.0245437622070312	-0.31444233655929565	0.30557853687634373	1.0	0.1369098712446352	0.23076923076923078	0.5837441102793184
ZNF322	-1.0246855020523071	-0.4747389256954193	0.30551160016672574	1.0	0.1402002861230329	0.23076923076923078	0.558969730033033
GNAI3	-1.024808645248413	-0.29736050963401794	0.30545347914871124	1.0	0.21702432045779685	0.3076923076923077	0.8395789883428084
RAB11A	-1.0249247550964355	-0.4362984001636505	0.3053987028303815	1.0	0.3851216022889843	0.46153846153846156	1.365361216294734
