gene,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expression,neg_log10_pvals,neg_log10_pvals_adj
DNAJC1,1.0976893901824951,0.5795630216598511,0.2723401252490032,1.0,0.1909871244635193,0.0769230769230769,0.8282460060022974,0.5648883671417806,-0.0
H2AFZ,1.0970873832702637,0.6276441216468811,0.2726031812806508,1.0,0.530758226037196,0.3846153846153846,1.9733595174997056,0.5644690802527382,-0.0
ECSIT,1.096165657043457,0.3473512530326843,0.2730062852428908,1.0,0.0848354792560801,0.0,0.3473512433158506,0.5638273543699281,-0.0
PDK2,1.0951606035232544,0.3642117083072662,0.2734462749304305,1.0,0.084692417739628,0.0,0.3642117031232285,0.5631279885013663,-0.0
BEND5,1.0951606035232544,0.3732869327068329,0.2734462749484324,1.0,0.084692417739628,0.0,0.3732869344526059,0.5631279884727752,-0.0
RAB35,1.0951606035232544,0.3681398630142212,0.2734462750384414,1.0,0.084692417739628,0.0,0.3681398546682985,0.5631279883298206,-0.0
OTUD6B-AS1,1.0948588848114014,0.6633332967758179,0.2735784461003813,1.0,0.2722460658082976,0.1538461538461538,1.0691800593733345,0.5629181215294123,-0.0
RUSC1,1.094154953956604,0.3376867771148681,0.2738870278822387,1.0,0.0845493562231759,0.0,0.3376867902600133,0.5624285367587265,-0.0
TAF11,1.094154953956604,0.3654687702655792,0.2738870280986336,1.0,0.0845493562231759,0.0,0.365468781344016,0.5624285364155956,-0.0
PLA2G16,1.094154953956604,0.3675610721111297,0.2738870281527322,1.0,0.0845493562231759,0.0,0.3675610744092326,0.562428536329813,-0.0
AC006333.2,1.094154953956604,0.3708204627037048,0.2738870281707651,1.0,0.0845493562231759,0.0,0.3708204767247243,0.5624285363012188,-0.0
TNKS1BP1,1.0931485891342163,0.3490870296955108,0.2743285464005178,1.0,0.0844062947067239,0.0,0.3490870240577902,0.5617289977211665,-0.0
COX6C,1.0923219919204712,0.3324438035488128,0.2746915713822979,1.0,0.8736766809728184,0.7692307692307693,3.3655381350542037,0.5611546662376719,-0.0
ANKRD13C,1.0921416282653809,0.3442345857620239,0.2747708314588232,1.0,0.0842632331902718,0.0,0.3442345717895449,0.5610293720813077,-0.0
PGGT1B,1.0921416282653809,0.3642062544822693,0.2747708316578718,1.0,0.0842632331902718,0.0,0.3642062620300579,0.5610293717666974,-0.0
GPRC5C,1.0921416282653809,0.3495582938194275,0.2747708316940626,1.0,0.0842632331902718,0.0,0.3495582872935767,0.5610293717094954,-0.0
NUDT16L1,1.0921416282653809,0.3421868085861206,0.2747708317121579,1.0,0.0842632331902718,0.0,0.3421868153709557,0.5610293716808945,-0.0
ICA1L,1.0921416282653809,0.3654083013534546,0.2747708317845391,1.0,0.0842632331902718,0.0,0.3654082972679927,0.5610293715664909,-0.0
ARHGDIB,1.091705322265625,0.2939740419387817,0.2749626200213952,1.0,0.3339055793991416,0.1538461538461538,1.2758708745499945,0.5607263426128545,-0.0
PML,1.0911340713500977,0.3437966108322143,0.2752138857720664,1.0,0.0841201716738197,0.0,0.3437966208288173,0.5603296577837297,-0.0
CR381670.1,1.0911340713500977,0.3501818776130676,0.2752138857720664,1.0,0.0841201716738197,0.0,0.3501818855522962,0.5603296577837297,-0.0
AP5M1,1.0911340713500977,0.3586064577102661,0.2752138858989529,1.0,0.0841201716738197,0.0,0.3586064652826993,0.5603296575834995,-0.0
THAP5,1.090335726737976,0.072877436876297,0.2755652939282116,1.0,0.2191702432045779,0.0769230769230769,0.8822819345802382,0.5597754805401346,-0.0
SNORD3A,1.090154767036438,0.6090942025184631,0.2756449636665945,1.0,0.1985693848354792,0.0769230769230769,0.9452142075322796,0.5596499381449467,-0.0
TFE3,1.0901257991790771,0.3339402377605438,0.2756577106520897,1.0,0.0839771101573676,0.0,0.3339402252256221,0.5596298550010755,-0.0
NUDT3,1.0901257991790771,0.3649674952030182,0.2756577107973542,1.0,0.0839771101573676,0.0,0.3649675025296603,0.5596298547722136,-0.0
RNF138,1.0891169309616089,0.3332005441188812,0.2761023081054551,1.0,0.0838340486409155,0.0,0.3332005566489655,0.5589299628164668,-0.0
C20orf96,1.0891169309616089,0.3499360084533691,0.2761023081418341,1.0,0.0838340486409155,0.0,0.3499360119725809,0.5589299627592444,-0.0
FOXN3,1.089101791381836,0.4556470215320587,0.2761089871543726,1.0,0.207725321888412,0.0769230769230769,0.8429418992293092,0.5589194571491098,-0.0
STAR,1.0890566110610962,0.5906072854995728,0.2761289443926557,1.0,0.376967095851216,0.2307692307692307,1.5683761083931425,0.5588880673514556,-0.0
TSR3,1.0881074666976929,0.3414627909660339,0.2765476797826365,1.0,0.0836909871244635,0.0,0.3414627903923711,0.5582299808824847,-0.0
STYX,1.0870972871780396,0.3509996235370636,0.2769938275954964,1.0,0.0835479256080114,0.0,0.350999628629642,0.5575299084484859,-0.0
P3H3,1.0870972871780396,0.3404394388198852,0.2769938276320015,1.0,0.0835479256080114,0.0,0.3404394241203092,0.5575299083912502,-0.0
CBX7,1.0870972871780396,0.3389042913913727,0.2769938278692867,1.0,0.0835479256080114,0.0,0.3389043035365882,0.5575299080192142,-0.0
HNRNPH1,1.086581110954285,0.4429347813129425,0.2772219769123966,1.0,0.3021459227467811,0.1538461538461538,1.103724912169,0.5571723437808207,-0.0
CSTF1,1.086086392402649,0.3457145392894745,0.2774407536098331,1.0,0.0834048640915593,0.0,0.3457145491541695,0.5568297445320717,-0.0
JADE1,1.086086392402649,0.359575480222702,0.2774407536464018,1.0,0.0834048640915593,0.0,0.3595754799070781,0.5568297444748286,-0.0
SMTN,1.086086392402649,0.3330504298210144,0.2774407537561081,1.0,0.0834048640915593,0.0,0.3330504375018608,0.5568297443030988,-0.0
ALKBH2,1.086086392402649,0.3523039817810058,0.2774407537926767,1.0,0.0834048640915593,0.0,0.3523039685413626,0.5568297442458559,-0.0
ELK3,1.086086392402649,0.3668931722640991,0.2774407537926767,1.0,0.0834048640915593,0.0,0.3668931841457306,0.5568297442458559,-0.0
ZNF197,1.086086392402649,0.364389568567276,0.2774407538109613,1.0,0.0834048640915593,0.0,0.3643895572242469,0.5568297442172339,-0.0
UBR3,1.0840628147125244,0.3508138656616211,0.2783369474122147,1.0,0.0831187410586552,0.0,0.3508138542217246,0.5554291400827962,-0.0
NAALADL2,1.0840628147125244,0.3707284033298492,0.2783369476690868,1.0,0.0831187410586552,0.0,0.3707283928109808,0.5554291396819937,-0.0
ERAP1,1.08380126953125,0.0447836592793464,0.2784529320935011,1.0,0.2183118741058655,0.0769230769230769,0.8616819733893422,0.5552482046540083,-0.0
CDC27,1.0832301378250122,0.3540879487991333,0.278706290357867,1.0,0.2103004291845493,0.0769230769230769,0.8195999729681616,0.5548532292167938,-0.0
PGPEP1,1.083050012588501,0.3445402383804321,0.2787862190776338,1.0,0.0829756795422031,0.0,0.3445402252837959,0.5547286980290536,-0.0
SUPT7L,1.083050012588501,0.3357004225254059,0.2787862191327737,1.0,0.0829756795422031,0.0,0.3357004240785205,0.5547286979431564,-0.0
VPS51,1.083050012588501,0.3576855659484863,0.2787862192430532,1.0,0.0829756795422031,0.0,0.3576855621776401,0.5547286977713625,-0.0
RANGRF,1.083050012588501,0.3859730064868927,0.2787862193533329,1.0,0.0829756795422031,0.0,0.3859730179212619,0.5547286975995681,-0.0
EWSR1,1.0824766159057615,0.4500640034675598,0.2790407977799585,1.0,0.3002861230329041,0.1538461538461538,1.0834481297497038,0.554332295094221,-0.0
GPATCH2L,1.0820366144180298,0.3543092310428619,0.2792362763514505,1.0,0.082832618025751,0.0,0.3543092429893081,0.554028161994968,-0.0
TGIF2,1.0820366144180298,0.3529385030269623,0.2792362764435101,1.0,0.082832618025751,0.0,0.3529385036762015,0.5540281618517882,-0.0
EBP,1.0820366144180298,0.3582735359668731,0.2792362765355698,1.0,0.082832618025751,0.0,0.3582735392180259,0.5540281617086082,-0.0
NCL,1.0816529989242554,0.3517374992370605,0.2794067212163987,1.0,0.8556509298998569,0.8461538461538461,3.1096648306161043,0.5537631510060718,-0.0
BUD31,1.0811630487442017,0.4469523429870605,0.2796246088774301,1.0,0.2055793991416309,0.0769230769230769,0.8759997624409335,0.5534246103606429,-0.0
HMGB2,1.0811283588409424,0.626728892326355,0.2796400387617155,1.0,0.3625178826895565,0.2307692307692307,1.372599892254947,0.5534006463442098,-0.0
DDX60,1.0810225009918213,0.3539359867572784,0.2796871208037856,1.0,0.082689556509299,0.0,0.3539359995299548,0.5533275318144882,-0.0
TRMT10B,1.0810225009918213,0.3831037282943725,0.2796871211542222,1.0,0.082689556509299,0.0,0.3831037306802525,0.553327531270335,-0.0
H6PD,1.08051335811615,0.3130026161670685,0.2799136252516775,1.0,0.2123032904148784,0.0769230769230769,0.8265822516239378,0.5529759610279538,-0.0
