ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,panel,comparison,neg_log10_pvalue
BP,GO:0045639,positive regulation of myeloid cell differentiation,103/18723,2.1955611079e-06,0.0012470787093123,0.0010509804356186,FOS/JUN/HSPA1A/HSPA1B/INHBA/ZFP36L1/ID2,7,7/108,G,LCa_disease_vs_ctrl,5.658454470900998
BP,GO:0002262,myeloid cell homeostasis,157/18723,3.5395832254e-06,0.0013429191867164,0.0011317503709401,TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,8,8/108,G,LCa_disease_vs_ctrl,5.451047871749584
BP,GO:0045637,regulation of myeloid cell differentiation,210/18723,3.5464415142e-06,0.0013429191867164,0.0011317503709401,FOS/JUN/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,9,9/108,G,LCa_disease_vs_ctrl,5.450207197882178
BP,GO:0006401,RNA catabolic process,278/18723,4.7719337917e-06,0.0015488333678356,0.0013052853484493,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/TRIR/DICER1,10,10/108,G,LCa_disease_vs_ctrl,5.321305590588204
BP,GO:0045444,fat cell differentiation,229/18723,7.1669968358e-06,0.0020354271013737,0.0017153641111002,ZFP36/ADIRF/ZFP36L2/KLF4/ZFP36L1/HES1/RGS2/MAFB/ID2,9,9/108,G,LCa_disease_vs_ctrl,5.1446627872696675
BP,GO:0030099,myeloid cell differentiation,381/18723,1.26672534414e-05,0.0030245471472622,0.0025489488792021,FOS/JUNB/JUN/TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,11,11/108,G,LCa_disease_vs_ctrl,4.897317540171812
BP,GO:0030308,negative regulation of cell growth,188/18723,1.33122673735e-05,0.0030245471472622,0.0025489488792021,HSPA1A/HSPA1B/INHBA/BST2/SPAG9/RGS2/SMARCA2/RBBP7,8,8/108,G,LCa_disease_vs_ctrl,4.875747968271685
BP,GO:1901216,positive regulation of neuron death,97/18723,2.06783938542e-05,0.0042710282578857,0.0035994256862,FOS/EGR1/JUN/NUPR1/CAPN2/FIS1,6,6/108,G,LCa_disease_vs_ctrl,4.684483197074578
BP,GO:0034655,nucleobase-containing compound catabolic process,407/18723,2.33413166611e-05,0.0044192892878355,0.0037243732461883,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,4.631874649467937
BP,GO:0045577,regulation of B cell differentiation,30/18723,2.5559982036e-05,0.0044670983989149,0.0037646645606126,ZFP36L2/INHBA/ZFP36L1/ID2,4,4/108,G,LCa_disease_vs_ctrl,4.592439455743246
BP,GO:0090084,negative regulation of inclusion body assembly,11/18723,2.97787470821e-05,0.0048326652407592,0.0040727474392796,HSPA1A/HSPA1B/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,4.526093578806043
BP,GO:0097201,negative regulation of transcription from RNA polymerase II promoter in response to stress,12/18723,3.95382886791e-05,0.0059887327919386,0.0050470278671869,JUN/HSPA1A/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,4.402982132020515
BP,GO:0061077,chaperone-mediated protein folding,67/18723,4.22806203204e-05,0.0060038480854999,0.005059766339661,HSPA1A/HSPA1B/HSPB6/PPIB/DNAJB1,5,5/108,G,LCa_disease_vs_ctrl,4.373858649563513
BP,GO:1903706,regulation of hemopoiesis,367/18723,5.21975982479e-05,0.0066351236998409,0.0055917763204274,FOS/JUN/HSPA1A/ZFP36/HSPA1B/ZFP36L2/INHBA/ZFP36L1/MAFB/ID2,10,10/108,G,LCa_disease_vs_ctrl,4.282349479596986
BP,GO:0046700,heterocycle catabolic process,445/18723,5.25670011431e-05,0.0066351236998409,0.0055917763204274,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,4.279286798027274
BP,GO:0044270,cellular nitrogen compound catabolic process,451/18723,5.92867019982e-05,0.0067836543521307,0.0057169511056921,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,4.2270427079249036
BP,GO:0033120,positive regulation of RNA splicing,37/18723,5.97152671842e-05,0.0067836543521307,0.0057169511056921,HSPA1A/RBM3/SRSF5/SF3B4,4,4/108,G,LCa_disease_vs_ctrl,4.223914620190764
BP,GO:0002761,regulation of myeloid leukocyte differentiation,120/18723,6.86762169494e-05,0.0074301126147197,0.0062617563223569,FOS/JUN/INHBA/ZFP36L1/MAFB/ID2,6,6/108,G,LCa_disease_vs_ctrl,4.163193636097768
BP,GO:0014706,striated muscle tissue development,384/18723,7.61090921276e-05,0.0076613447582609,0.0064566281112289,FOS/EGR1/TGFBR3/MYH11/NR2F2/RGS2/NUPR1/ID2/SGCB/NR1D2,10,10/108,G,LCa_disease_vs_ctrl,4.118563458538507
BP,GO:1900153,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",15/18723,8.07471821051e-05,0.0076613447582609,0.0064566281112289,ZFP36/ZFP36L2/ZFP36L1,3,3/108,G,LCa_disease_vs_ctrl,4.092872624632268
BP,GO:0019439,aromatic compound catabolic process,467/18723,8.09296981506e-05,0.0076613447582609,0.0064566281112289,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,4.091892079424243
BP,GO:0045926,negative regulation of growth,249/18723,9.79854575233e-05,0.0086497427598192,0.0072896043736615,HSPA1A/HSPA1B/INHBA/BST2/SPAG9/RGS2/SMARCA2/RBBP7,8,8/108,G,LCa_disease_vs_ctrl,4.008838375185396
BP,GO:1902895,positive regulation of pri-miRNA transcription by RNA polymerase II,42/18723,9.89847322866e-05,0.0086497427598192,0.0072896043736615,FOS/EGR1/JUN/KLF4,4,4/108,G,LCa_disease_vs_ctrl,4.004431787170362
MF,GO:0042826,histone deacetylase binding,127/18368,0.0001098474919782,0.0352610449250309,0.0320292160820907,HSPA1A/HSPA1B/KLF4/HES1/BHLHE41/RBBP4,6,6/109,G,LCa_disease_vs_ctrl,3.9592098543780874
BP,GO:0060537,muscle tissue development,403/18723,0.0001132936321063,0.0093752884449903,0.0079010608234977,FOS/EGR1/TGFBR3/MYH11/NR2F2/RGS2/NUPR1/ID2/SGCB/NR1D2,10,10/108,G,LCa_disease_vs_ctrl,3.945794499834883
BP,GO:0061158,3'-UTR-mediated mRNA destabilization,17/18723,0.0001196669739897,0.0093752884449903,0.0079010608234977,ZFP36/ZFP36L2/ZFP36L1,3,3/108,G,LCa_disease_vs_ctrl,3.9220256908054703
BP,GO:0090083,regulation of inclusion body assembly,17/18723,0.0001196669739897,0.0093752884449903,0.0079010608234977,HSPA1A/HSPA1B/DNAJB1,3,3/108,G,LCa_disease_vs_ctrl,3.9220256908054703
BP,GO:1901361,organic cyclic compound catabolic process,495/18723,0.0001352233128978,0.0099098714610462,0.0083515827407538,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108,G,LCa_disease_vs_ctrl,3.8689484282903837
BP,GO:1900151,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",18/18723,0.0001429983192388,0.0099098714610462,0.0083515827407538,ZFP36/ZFP36L2/ZFP36L1,3,3/108,G,LCa_disease_vs_ctrl,3.844669067077626
