ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0009314,response to radiation,456/18723,0.0006920745651314,0.0266566008349358,0.0232440743775192,ADIRF/EEF1D/BACE1/HMGCS1/EGR1/STAR/MRNIP/KAT5/RHOB/ROM1/YY1/NDRG4/JUND/PTN/PPP1CA/FOS/GNA11/HMGCR/FBXL3/ELK1/IFT20/GNAQ/PPP1CC/YAP1/BHLHE40/NPTN/HIF1A/COL3A1,28,28/593
BP,GO:0042176,regulation of protein catabolic process,391/18723,0.000743434296204,0.028394192237372,0.0247592226909167,UBB/GJA1/PHB/NDFIP1/ZYG11B/STUB1/PINK1/NUPR1/CTSA/PSMC1/LDLR/SNCA/AGTPBP1/CSNK2A2/HMGCR/SVIP/PRICKLE1/FOXO1/USP13/PSME1/RAD23A/TIMP2/RNF139/UBQLN1/GSK3B,25,25/593
BP,GO:0008306,associative learning,78/18723,0.0007867427760921,0.0296637401907636,0.0258662455719356,ADCY3/NDRG4/FOS/HMGCR/BTG2/IFT20/EIF4A3/NPTN/HIF1A,9,9/593
BP,GO:0032868,response to insulin,264/18723,0.0007897277366517,0.0296637401907636,0.0258662455719356,FABP3/CDK4/EGR1/PDK2/STAR/SRSF6/PIK3CA/EPM2AIP1/TSC1/VPS13C/IRS2/CPEB2/RAB8A/EIF4EBP2/SESN3/RHOQ/FOXO1/GOT1/GSK3B,19,19/593
BP,GO:0043457,regulation of cellular respiration,49/18723,0.0008349373583724,0.031104838473794,0.027122857241349,PRELID1/PINK1/NUPR1/SNCA/COX7A2/PIK3CA/HIF1A,7,7/593
BP,GO:0036473,cell death in response to oxidative stress,95/18723,0.0008488443715281,0.0312567551410713,0.0272553258308456,MCL1/PINK1/NME5/GATA4/PDK1/TSC1/P4HB/FOXO3/HIF1A/UBQLN1,10,10/593
BP,GO:0035774,positive regulation of insulin secretion involved in cellular response to glucose stimulus,36/18723,0.0008527695572041,0.0312567551410713,0.0272553258308456,HLA-DRB1/CAMK2N1/MPC2/KIF5B/BAD/HIF1A,6,6/593
BP,GO:0010038,response to metal ion,373/18723,0.0008627921906011,0.0313711240502587,0.0273550534535867,IGFBP2/CDK4/BACE1/SYT4/STAR/FOSB/KCNMB4/HNRNPD/SNCA/MNAT1/CALR/JUND/CALM3/PPP1CA/FOS/MAPK1/MEF2A/GOT1/CYB5A/SLC39A13/SPARC/BECN1/BAD/HIF1A,24,24/593
BP,GO:1902115,regulation of organelle assembly,186/18723,0.0008795050600822,0.0317250039529673,0.0276636303359208,NUMA1/KIF9/PINK1/RAB1B/NUPR1/ATMIN/FUZ/GRID2/MNS1/CHMP1B/RBM14/IFT20/BECN1/CHMP4B/YAP1,15,15/593
BP,GO:0031960,response to corticosteroid,167/18723,0.0008868287866591,0.031737297916265,0.0276743504498263,IGFBP2/ZFP36/STAR/FOSB/AGL/BMI1/CALM3/KLF9/FOS/FOXO1/GOT1/FOXO3/SPARC/BAD,14,14/593
BP,GO:1901655,cellular response to ketone,96/18723,0.0009212677274124,0.0327122017272634,0.0285244489614143,CDK4/KLF4/STAR/BMI1/ADCY3/GNB1/KLF9/FOXO1/ELK1/FOXO3,10,10/593
BP,GO:0032885,regulation of polysaccharide biosynthetic process,37/18723,0.0009909335101953,0.0348629303339775,0.0303998454536333,DYRK2/EPM2AIP1/PPP1CA/IRS2/AP2A1/GSK3B,6,6/593
BP,GO:1901215,negative regulation of neuron death,208/18723,0.0009971795255043,0.0348629303339775,0.0303998454536333,ILK/RETREG1/PINK1/ADNP/STAR/PSMC1/SNCA/WFS1/PIK3CA/TSC1/HYOU1/BTG2/CPEB4/CHMP4B/HIF1A/GSK3B,16,16/593
BP,GO:0006417,regulation of translation,468/18723,0.0010279965043097,0.0350002994706331,0.0305196288592284,GAPDH/CDK4/PAIP2/PINK1/RBM3/ZFP36/SARNP/HNRNPD/RIDA/BOLL/UHMK1/CALR/KHSRP/ENC1/TSC1/PPP1CA/CPEB2/EIF4EBP2/MAPK1/METTL14/IREB2/BTG2/CPEB4/CELF1/SRP9/FOXO3/RNF139/EIF4A3,28,28/593
BP,GO:0016114,terpenoid biosynthetic process,15/18723,0.0010290589386565,0.0350002994706331,0.0305196288592284,FDPS/HMGCS1/LSS/RBP1,4,4/593
BP,GO:1902902,negative regulation of autophagosome assembly,15/18723,0.0010290589386565,0.0350002994706331,0.0305196288592284,PINK1/NUPR1/BECN1/CHMP4B,4,4/593
BP,GO:0062012,regulation of small molecule metabolic process,334/18723,0.0010319120195962,0.0350002994706331,0.0305196288592284,FABP3/APOC1/DYRK2/PINK1/EGR1/PDK2/NUPR1/STAR/LDLR/GUCA1C/SNCA/PDK1/EPM2AIP1/COMT/PPP1CA/IRS2/ELOVL5/STARD4/BAD/LPGAT1/HIF1A/GSK3B,22,22/593
BP,GO:2001236,regulation of extrinsic apoptotic signaling pathway,151/18723,0.0010478222639789,0.0352766828872928,0.0307606302056991,PRDX2/MCL1/BIRC6/STRADB/ATF3/ITGAV/PPP1CA/FEM1B/PPP2R1B/IFI6/YAP1/SIAH2/GSK3B,13,13/593
BP,GO:0046916,cellular transition metal ion homeostasis,115/18723,0.0010636376412072,0.0353575673977628,0.0308311600376532,FTH1/SLC31A2/CYB561A3/NDFIP1/NUBP1/SLC46A1/STEAP4/IREB2/SLC39A13/AP3D1/HIF1A,11,11/593
BP,GO:0010565,regulation of cellular ketone metabolic process,133/18723,0.001074736476097,0.0353575673977628,0.0308311600376532,FABP3/APOC1/EGR1/PDK2/STAR/SNCA/PDK1/COMT/IRS2/ELOVL5/STARD4/LPGAT1,12,12/593
BP,GO:0046887,positive regulation of hormone secretion,133/18723,0.001074736476097,0.0353575673977628,0.0308311600376532,HLA-DRB1/GJA1/CYP19A1/CAMK2N1/TM7SF3/IRS2/MPC2/KIF5B/VAMP7/ACSL4/BAD/HIF1A,12,12/593
BP,GO:1902882,regulation of response to oxidative stress,98/18723,0.0010813425452781,0.0353575673977628,0.0308311600376532,MCL1/PINK1/NME5/GATA4/TSC1/SESN3/P4HB/FOXO3/HIF1A/UBQLN1,10,10/593
BP,GO:0007006,mitochondrial membrane organization,116/18723,0.0011422848695599,0.0370834623725012,0.0323361092773938,PINK1/SNCA/GHITM/CALM3/ACAA2/TIMM10/BAD/ROMO1/HSPA4/OXA1L/GSK3B,11,11/593
BP,GO:0000045,autophagosome assembly,99/18723,0.0011695130258433,0.0374326528342127,0.0326405970518929,PINK1/RAB1B/EMC6/NUPR1/ATG101/ATP2A2/IFT20/BECN1/CHMP4B/UBQLN1,10,10/593
BP,GO:0060291,long-term synaptic potentiation,99/18723,0.0011695130258433,0.0374326528342127,0.0326405970518929,SQSTM1/PAIP2/RASGRF2/SNCA/PTN/NSG1/MAPK1/NPTN/CALB2/GSK3B,10,10/593
BP,GO:0008535,respiratory chain complex IV assembly,26/18723,0.0011865605015507,0.0377127096471904,0.0328848015335931,COX20/PET100/COX17/COA6/OXA1L,5,5/593
BP,GO:0006879,cellular iron ion homeostasis,67/18723,0.0012166793800611,0.0380797871043959,0.0332048864450351,FTH1/CYB561A3/NDFIP1/NUBP1/SLC46A1/STEAP4/IREB2/HIF1A,8,8/593
BP,GO:0035914,skeletal muscle cell differentiation,67/18723,0.0012166793800611,0.0380797871043959,0.0332048864450351,NR4A1/EGR1/NUPR1/ARNTL/ATF3/EMD/FOS/BTG2,8,8/593
BP,GO:0009743,response to carbohydrate,253/18723,0.0012232450863018,0.0380797871043959,0.0332048864450351,HLA-DRB1/GJA1/EGR1/ADNP/STAR/GATA4/CAMK2N1/PIK3CA/IRS2/MPC2/HMGCR/CALCRL/KIF5B/GOT1/FOXO3/SPARC/BAD/HIF1A,18,18/593
BP,GO:0048545,response to steroid hormone,339/18723,0.0012493558888281,0.0386280443178494,0.0336829568309196,IGFBP2/PHB/ZFP36/STAR/FOSB/AGL/BMI1/ARNTL/PLPP1/CALR/PTN/CALM3/KLF9/FOS/PIAS2/FOXO1/GOT1/FOXO3/SPARC/BAD/YAP1/FOXP1,22,22/593
BP,GO:2000785,regulation of autophagosome assembly,39/18723,0.0013182477048779,0.040459258968981,0.0352797429258788,PINK1/RAB1B/NUPR1/IFT20/BECN1/CHMP4B,6,6/593
BP,GO:0061684,chaperone-mediated autophagy,16/18723,0.0013379439778116,0.040459258968981,0.0352797429258788,STUB1/CTSA/SNCA/LAMP2,4,4/593
BP,GO:0006112,energy reserve metabolic process,84/18723,0.0013435747533979,0.040459258968981,0.0352797429258788,DYRK2/AGL/EPM2AIP1/IL6ST/PPP1CA/IRS2/GAA/PPP1CC/GSK3B,9,9/593
BP,GO:0051651,maintenance of location in cell,214/18723,0.0013441910020497,0.040459258968981,0.0352797429258788,ARL2BP/FTH1/GJA1/TMSB10/SUN2/PINK1/SNCA/TRDN/CALR/AKAP9/CALM3/VPS13C/GAA/ARHGAP21/AP3D1/DDIT3,16,16/593
BP,GO:0071496,cellular response to external stimulus,320/18723,0.0013917149576159,0.0416141084366088,0.0362867507993358,ARHGDIA/GJA1/PDK2/ADNP/KLF10/ATF3/IRF1/PTN/TSC1/COMT/FOS/MAPK1/SESN3/TBL2/FOXO1/GOT1/CPEB4/FOXO3/BECN1/BAD/LAMP2,21,21/593
