cell_type,avg_expr,pct_expr,gene
LCs,1.5902383902031192,0.6011664423508299,CFD
Lym,0.10010790350458547,0.06950672645739911,CFD
Myeloid,0.2706177592499717,0.17154493994201298,CFD
SPCs,0.010137573503144622,0.011302918207973694,CFD
SPGs,0.10727828015927628,0.10039507320474088,CFD
SSCs,0.055120029362228,0.05212943837906954,CFD
STs,0.02021542501906769,0.02371101209420751,CFD
Spermatids,0.00792503071497485,0.009064982684864534,CFD
ECs,0.551990537933076,0.35580389329488105,NR2F2
LCs,1.4791714589228915,0.7506505159264244,NR2F2
Lym,0.05478325031797982,0.04932735426008968,NR2F2
Myeloid,1.0745412342504426,0.5581250862902113,NR2F2
SPCs,0.041012498588778576,0.0448006576243321,NR2F2
SPGs,0.03557015666290131,0.03648617243783407,NR2F2
SSCs,0.07555942424246258,0.06845677190911774,NR2F2
STs,0.03103429071941928,0.03461171228516868,NR2F2
Spermatids,0.01233523833563074,0.013614449650302165,NR2F2
ECs,0.11394992582473122,0.07786589762076424,DLK1
LCs,1.2351696991075471,0.506056527590848,DLK1
Lym,0.12060501630263479,0.10986547085201794,DLK1
Myeloid,0.23356462786922827,0.1351649868838879,DLK1
SPCs,0.04544885092913688,0.04711261816687218,DLK1
SPGs,0.31653799315732273,0.28026957936323493,DLK1
SSCs,0.472620053480447,0.35920133766106027,DLK1
STs,0.02531040818172606,0.02928071292170592,DLK1
Spermatids,0.02890462231682996,0.03126909757588103,DLK1
ECs,0.8791216924066757,0.45926459985580387,CLDN5
LCs,0.011288670222820216,0.008972633467922835,CLDN5
Lym,0.010559886560311767,0.006726457399103139,CLDN5
Myeloid,0.0084865372039066,0.007455474251000967,CLDN5
SPCs,0.0022073544307691885,0.0026715988491574187,CLDN5
SPGs,0.004023927243787024,0.0039507320474087846,CLDN5
SSCs,0.008404198855533939,0.007868594472312383,CLDN5
STs,0.0022510421989375357,0.0027848504137492043,CLDN5
Spermatids,0.004248809523451974,0.004311808243362532,CLDN5
ECs,0.937323285012943,0.5713770728190339,CDH5
LCs,0.02513395519521858,0.01893225661731718,CDH5
Lym,0.009631761921895458,0.006726457399103139,CDH5
Myeloid,0.012643193270346086,0.01090708270053845,CDH5
SPCs,0.06151413570888925,0.08235717221537196,CDH5
SPGs,0.002449454040602698,0.0030211480362537764,CDH5
