Gene,CTRL,Disease
SNCB,0.000864492392524217,0.0004107882628262169
SNCG,0.005623245465399624,0.007835738597730716
SND1,0.27639964644607695,0.29862403964948897
SND1-IT1,0.01308712307362214,0.008249654717108491
SNED1,0.006290071318412269,0.00875724934010009
SNF8,0.326487788067158,0.538546540627423
SNHG1,0.2107283256569634,0.23722446892175447
SNHG10,0.21708726592921068,0.3902519432296765
SNHG11,0.650853974854982,0.7511422134475243
SNHG12,0.06926765397423935,0.07660242586186912
SNHG14,1.5279178725421918,1.0566123563068974
SNHG15,0.8554225262521338,0.832068597931344
SNHG16,0.09671742965840174,0.24304980194983036
SNHG17,0.24363377077563247,0.25966714237027744
SNHG18,0.002649266283238955,0.006125352858162588
SNHG19,0.0030729110124500594,0.0076632391157519944
SNHG20,0.02709616302769569,0.019137262316600376
SNHG21,0.017655436219526945,0.011248829844989677
SNHG22,0.005047209231508232,0.014744994036756888
SNHG25,0.006862203703603171,0.025559276440890993
SNHG26,0.007057865512165372,0.023317383795806505
SNHG27,0.44398748302254015,0.5315391463956773
SNHG3,0.053150312277536284,0.04223426266315812
SNHG4,0.002550206748659619,0.001125899716504693
SNHG5,0.5064147615170547,0.7292242921909374
SNHG6,1.168862286473781,1.6824237297927904
SNHG7,0.1347930682533996,0.3316114808907055
SNHG8,0.7014007684261916,0.9383252255940002
SNHG9,0.04716424059525423,0.1294389709444208
SNIP1,0.2662284616142262,0.27129074829348915
SNN,0.005561934999123522,0.00325084189416081
SNORA108,0.0,0.0
SNORA11F,0.0023884739117537215,0.004900805411252151
SNORA12,0.0174399321159131,0.02246055486668331
SNORA13,0.0,0.0012806470547177865
SNORA14B,0.0,0.0004147659035592756
SNORA15B-1,0.0009216874627737964,0.0
SNORA15B-2,0.0,0.0
SNORA19,0.0,0.0008964228732642832
SNORA20,0.0,0.0013037224410056478
SNORA22C,0.0,0.0
SNORA23,0.0,0.0005296416564449862
SNORA24B,0.0,0.0
SNORA26,0.0,0.0
SNORA28,0.0059047091416145015,0.0038211026400653708
SNORA2A,0.0,0.0
SNORA2B,0.0022414377330797148,0.005234269260900735
SNORA33,0.004761128628979372,0.004108650190750609
SNORA36C,0.0,0.0
SNORA37,0.0,0.002646055950486691
SNORA38,0.0,0.00019471077417576845
SNORA38B,0.0,0.0002262522848975894
SNORA3B,0.0,0.0004085787362618963
SNORA40B,0.0,0.0
SNORA46,0.0,0.004359020721884349
SNORA49,0.0,0.00045781712824701057
SNORA54,0.0,0.0011680153623672177
SNORA55,0.0,0.00027683701629961166
SNORA58,0.011925482863100387,0.006200957273710229
SNORA59A,0.0038024343927950837,0.0007718683669876398
SNORA59B,0.0,0.00020572229886322823
SNORA5C,0.0,0.0
SNORA63C,0.004980258358299931,0.0024084436152772186
SNORA63D,0.0,0.0
SNORA66,0.002020490716880932,0.0003791154421751623
SNORA68B,0.003725428323917827,0.0009011688300076354
SNORA71B,0.0,0.00023945121616694544
SNORA72,0.0,0.003388529170409037
SNORA74D,0.0,0.001571546198735044
SNORA75,0.0014426849321056813,0.0005014826283610751
SNORA77,0.0,0.00020862508092502858
SNORA79,0.0,0.001161207531105019
SNORA79B,0.0,0.00013320216702837292
SNORA7B,0.02436087133814536,0.01661090441892643
SNORA80A,0.0,0.0003617604370175239
SNORA80B,0.004387816611725088,0.0037079834737301976
SNORA80D,0.0,0.0
SNORA80E,0.0,0.004348336160472486
SNORA84,0.0,0.0
